Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Not aware,Maori authorities - primary industries (30 or more employees),Percent,0,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Don't know,Maori authorities - primary industries (30 or more employees),Percent,0,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Very aware,Maori authorities - other industries (6-29 employees),Percent,63,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Somewhat aware,Maori authorities - other industries (6-29 employees),Percent,32,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Not aware,Maori authorities - other industries (6-29 employees),Percent,C,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Don't know,Maori authorities - other industries (6-29 employees),Percent,C,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Very aware,Maori authorities - other industries (30 or more employees),Percent,73,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Somewhat aware,Maori authorities - other industries (30 or more employees),Percent,27,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Not aware,Maori authorities - other industries (30 or more employees),Percent,0,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Don't know,Maori authorities - other industries (30 or more employees),Percent,0,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Very aware,All New Zealand businesses,Percent,39,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Somewhat aware,All New Zealand businesses,Percent,45,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Not aware,All New Zealand businesses,Percent,8,2021
Table 16,Businesses' awareness of the potential impact of climate change,By business type,Don't know,All New Zealand businesses,Percent,8,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,All Maori authorities,Percent,54,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,All Maori authorities,Percent,44,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,All Maori authorities,Percent,C,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,All Maori authorities,Percent,C,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,Maori authorities - primary industries (6-29 employees),Percent,55,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,Maori authorities - primary industries (6-29 employees),Percent,50,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,Maori authorities - primary industries (6-29 employees),Percent,0,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,Maori authorities - primary industries (6-29 employees),Percent,0,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,Maori authorities - primary industries (30 or more employees),Percent,75,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,Maori authorities - primary industries (30 or more employees),Percent,25,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,Maori authorities - primary industries (30 or more employees),Percent,0,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,Maori authorities - primary industries (30 or more employees),Percent,C,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,Maori authorities - other industries (6-29 employees),Percent,47,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,Maori authorities - other industries (6-29 employees),Percent,47,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,Maori authorities - other industries (6-29 employees),Percent,C,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,Maori authorities - other industries (6-29 employees),Percent,C,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,Maori authorities - other industries (30 or more employees),Percent,55,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,Maori authorities - other industries (30 or more employees),Percent,36,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,Maori authorities - other industries (30 or more employees),Percent,C,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,Maori authorities - other industries (30 or more employees),Percent,C,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Very aware,All New Zealand businesses,Percent,27,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Somewhat aware,All New Zealand businesses,Percent,55,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Not aware,All New Zealand businesses,Percent,11,2021
Table 17,Businesses' awareness of government policies and programmes to reduce New Zealand's greenhouse gas emissions,By business type,Don't know,All New Zealand businesses,Percent,7,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - in response to climate change,Maori authorities,Percent,26,2021
Table 18,Actions businesses undertook in the last two years,By business type,Reduced waste - in response to climate change,Maori authorities,Percent,30,2021
Table 18,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - in response to climate change,Maori authorities,Percent,C,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - in response to climate change,Maori authorities,Percent,6,2021
Table 18,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - in response to climate change,Maori authorities,Percent,11,2021
Table 18,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - in response to climate change,Maori authorities,Percent,11,2021
Table 18,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - in response to climate change,Maori authorities,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - in response to climate change,Maori authorities,Percent,33,2021
Table 18,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - in response to climate change,Maori authorities,Percent,28,2021
Table 18,Actions businesses undertook in the last two years,By business type,Overall - in response to climate change,Maori authorities,Percent,54,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - for some other reason,Maori authorities,Percent,30,2021
Table 18,Actions businesses undertook in the last two years,By business type,Reduced waste - for some other reason,Maori authorities,Percent,24,2021
Table 18,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - for some other reason,Maori authorities,Percent,C,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - for some other reason,Maori authorities,Percent,4,2021
Table 18,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - for some other reason,Maori authorities,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - for some other reason,Maori authorities,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - for some other reason,Maori authorities,Percent,46,2021
Table 18,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - for some other reason,Maori authorities,Percent,17,2021
Table 18,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - for some other reason,Maori authorities,Percent,15,2021
Table 18,Actions businesses undertook in the last two years,By business type,Overall - for some other reason,Maori authorities,Percent,69,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - not done,Maori authorities,Percent,22,2021
Table 18,Actions businesses undertook in the last two years,By business type,Reduced waste - not done,Maori authorities,Percent,20,2021
Table 18,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - not done,Maori authorities,Percent,19,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - not done,Maori authorities,Percent,22,2021
Table 18,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - not done,Maori authorities,Percent,35,2021
Table 18,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - not done,Maori authorities,Percent,39,2021
Table 18,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - not done,Maori authorities,Percent,15,2021
Table 18,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - not done,Maori authorities,Percent,24,2021
Table 18,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - not done,Maori authorities,Percent,33,2021
Table 18,Actions businesses undertook in the last two years,By business type,Overall - not done,Maori authorities,Percent,..,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - not applicable,Maori authorities,Percent,17,2021
Table 18,Actions businesses undertook in the last two years,By business type,Reduced waste - not applicable,Maori authorities,Percent,11,2021
Table 18,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - not applicable,Maori authorities,Percent,67,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - not applicable,Maori authorities,Percent,61,2021
Table 18,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - not applicable,Maori authorities,Percent,31,2021
Table 18,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - not applicable,Maori authorities,Percent,24,2021
Table 18,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - not applicable,Maori authorities,Percent,20,2021
Table 18,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - not applicable,Maori authorities,Percent,17,2021
Table 18,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - not applicable,Maori authorities,Percent,17,2021
Table 18,Actions businesses undertook in the last two years,By business type,Overall - not applicable,Maori authorities,Percent,..,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - don't know,Maori authorities,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Reduced waste - don't know,Maori authorities,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - don't know,Maori authorities,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - don't know,Maori authorities,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - don't know,Maori authorities,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - don't know,Maori authorities,Percent,11,2021
Table 18,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - don't know,Maori authorities,Percent,7,2021
Table 18,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - don't know,Maori authorities,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - don't know,Maori authorities,Percent,11,2021
Table 18,Actions businesses undertook in the last two years,By business type,Overall - don't know,Maori authorities,Percent,..,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - in response to climate change,All New Zealand businesses,Percent,6,2021
Table 18,Actions businesses undertook in the last two years,By business type,Reduced waste - in response to climate change,All New Zealand businesses,Percent,23,2021
Table 18,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - in response to climate change,All New Zealand businesses,Percent,1,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - in response to climate change,All New Zealand businesses,Percent,6,2021
Table 18,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - in response to climate change,All New Zealand businesses,Percent,8,2021
Table 18,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - in response to climate change,All New Zealand businesses,Percent,11,2021
Table 18,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - in response to climate change,All New Zealand businesses,Percent,10,2021
Table 18,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - in response to climate change,All New Zealand businesses,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - in response to climate change,All New Zealand businesses,Percent,8,2021
Table 18,Actions businesses undertook in the last two years,By business type,Overall - in response to climate change,All New Zealand businesses,Percent,35,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - for some other reason,All New Zealand businesses,Percent,7,2021
Table 18,Actions businesses undertook in the last two years,By business type,Reduced waste - for some other reason,All New Zealand businesses,Percent,34,2021
Table 18,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - for some other reason,All New Zealand businesses,Percent,1,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - for some other reason,All New Zealand businesses,Percent,4,2021
Table 18,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - for some other reason,All New Zealand businesses,Percent,6,2021
Table 18,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - for some other reason,All New Zealand businesses,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - for some other reason,All New Zealand businesses,Percent,39,2021
Table 18,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - for some other reason,All New Zealand businesses,Percent,7,2021
Table 18,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - for some other reason,All New Zealand businesses,Percent,7,2021
Table 18,Actions businesses undertook in the last two years,By business type,Overall - for some other reason,All New Zealand businesses,Percent,59,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - not done,All New Zealand businesses,Percent,41,2021
Table 18,Actions businesses undertook in the last two years,By business type,Reduced waste - not done,All New Zealand businesses,Percent,18,2021
Table 18,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - not done,All New Zealand businesses,Percent,17,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - not done,All New Zealand businesses,Percent,22,2021
Table 18,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - not done,All New Zealand businesses,Percent,29,2021
Table 18,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - not done,All New Zealand businesses,Percent,35,2021
Table 18,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - not done,All New Zealand businesses,Percent,16,2021
Table 18,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - not done,All New Zealand businesses,Percent,37,2021
Table 18,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - not done,All New Zealand businesses,Percent,41,2021
Table 18,Actions businesses undertook in the last two years,By business type,Overall - not done,All New Zealand businesses,Percent,..,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - not applicable,All New Zealand businesses,Percent,37,2021
Table 18,Actions businesses undertook in the last two years,By business type,Reduced waste - not applicable,All New Zealand businesses,Percent,16,2021
Table 18,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - not applicable,All New Zealand businesses,Percent,72,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - not applicable,All New Zealand businesses,Percent,59,2021
Table 18,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - not applicable,All New Zealand businesses,Percent,47,2021
Table 18,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - not applicable,All New Zealand businesses,Percent,33,2021
Table 18,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - not applicable,All New Zealand businesses,Percent,26,2021
Table 18,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - not applicable,All New Zealand businesses,Percent,35,2021
Table 18,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - not applicable,All New Zealand businesses,Percent,32,2021
Table 18,Actions businesses undertook in the last two years,By business type,Overall - not applicable,All New Zealand businesses,Percent,..,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed programmes to offset emissions - don't know,All New Zealand businesses,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Reduced waste - don't know,All New Zealand businesses,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Stopped or reduced using coal and / or natural gas - don't know,All New Zealand businesses,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Developed or expanded offering of low emission goods and services - don't know,All New Zealand businesses,Percent,10,2021
Table 18,Actions businesses undertook in the last two years,By business type,Changed to lower emission technologies - don't know,All New Zealand businesses,Percent,11,2021
Table 18,Actions businesses undertook in the last two years,By business type,Switched to more sustainable suppliers - don't know,All New Zealand businesses,Percent,11,2021
Table 18,Actions businesses undertook in the last two years,By business type,Increased use of digital technologies - don't know,All New Zealand businesses,Percent,9,2021
Table 18,Actions businesses undertook in the last two years,By business type,Assessed the risks to the business of the physical impacts of climate change (eg increased flooding or droughts) - don't know,All New Zealand businesses,Percent,11,2021
Table 18,Actions businesses undertook in the last two years,By business type,Took steps to reduce the risks to the business of the physical impacts of climate change - don't know,All New Zealand businesses,Percent,12,2021
Table 18,Actions businesses undertook in the last two years,By business type,Overall - don't know,All New Zealand businesses,Percent,..,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,All Maori authorities,Percent,41,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,All Maori authorities,Percent,35,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,All Maori authorities,Percent,57,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,All Maori authorities,Percent,7,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from investors or shareholders,All Maori authorities,Percent,24,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from customers,All Maori authorities,Percent,24,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Public opinion,All Maori authorities,Percent,22,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To minimise supply chain disruptions,All Maori authorities,Percent,17,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To take advantage of opportunities presented by climate change,All Maori authorities,Percent,11,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Potential for litigation,All Maori authorities,Percent,4,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Other,All Maori authorities,Percent,11,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Did not make any changes,All Maori authorities,Percent,9,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Don’t know,All Maori authorities,Percent,0,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,Maori authorities - primary industries (6-29 employees),Percent,53,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,Maori authorities - primary industries (6-29 employees),Percent,35,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,Maori authorities - primary industries (6-29 employees),Percent,53,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,Maori authorities - primary industries (6-29 employees),Percent,12,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from investors or shareholders,Maori authorities - primary industries (6-29 employees),Percent,24,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from customers,Maori authorities - primary industries (6-29 employees),Percent,18,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Public opinion,Maori authorities - primary industries (6-29 employees),Percent,24,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To minimise supply chain disruptions,Maori authorities - primary industries (6-29 employees),Percent,24,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To take advantage of opportunities presented by climate change,Maori authorities - primary industries (6-29 employees),Percent,12,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Potential for litigation,Maori authorities - primary industries (6-29 employees),Percent,12,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Other,Maori authorities - primary industries (6-29 employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Did not make any changes,Maori authorities - primary industries (6-29 employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Don’t know,Maori authorities - primary industries (6-29 employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,Maori authorities - primary industries (30 or more employees),Percent,25,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,Maori authorities - primary industries (30 or more employees),Percent,25,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,Maori authorities - primary industries (30 or more employees),Percent,75,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,Maori authorities - primary industries (30 or more employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from investors or shareholders,Maori authorities - primary industries (30 or more employees),Percent,25,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from customers,Maori authorities - primary industries (30 or more employees),Percent,50,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Public opinion,Maori authorities - primary industries (30 or more employees),Percent,25,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To minimise supply chain disruptions,Maori authorities - primary industries (30 or more employees),Percent,25,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To take advantage of opportunities presented by climate change,Maori authorities - primary industries (30 or more employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Potential for litigation,Maori authorities - primary industries (30 or more employees),Percent,0,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Other,Maori authorities - primary industries (30 or more employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Did not make any changes,Maori authorities - primary industries (30 or more employees),Percent,0,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Don’t know,Maori authorities - primary industries (30 or more employees),Percent,0,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,Maori authorities - other industries (6-29 employees),Percent,18,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,Maori authorities - other industries (6-29 employees),Percent,29,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,Maori authorities - other industries (6-29 employees),Percent,59,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,Maori authorities - other industries (6-29 employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from investors or shareholders,Maori authorities - other industries (6-29 employees),Percent,35,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from customers,Maori authorities - other industries (6-29 employees),Percent,24,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Public opinion,Maori authorities - other industries (6-29 employees),Percent,18,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To minimise supply chain disruptions,Maori authorities - other industries (6-29 employees),Percent,6,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To take advantage of opportunities presented by climate change,Maori authorities - other industries (6-29 employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Potential for litigation,Maori authorities - other industries (6-29 employees),Percent,0,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Other,Maori authorities - other industries (6-29 employees),Percent,12,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Did not make any changes,Maori authorities - other industries (6-29 employees),Percent,12,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Don’t know,Maori authorities - other industries (6-29 employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,Maori authorities - other industries (30 or more employees),Percent,63,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,Maori authorities - other industries (30 or more employees),Percent,38,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,Maori authorities - other industries (30 or more employees),Percent,63,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,Maori authorities - other industries (30 or more employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from investors or shareholders,Maori authorities - other industries (30 or more employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from customers,Maori authorities - other industries (30 or more employees),Percent,38,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Public opinion,Maori authorities - other industries (30 or more employees),Percent,25,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To minimise supply chain disruptions,Maori authorities - other industries (30 or more employees),Percent,25,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To take advantage of opportunities presented by climate change,Maori authorities - other industries (30 or more employees),Percent,25,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Potential for litigation,Maori authorities - other industries (30 or more employees),Percent,0,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Other,Maori authorities - other industries (30 or more employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Did not make any changes,Maori authorities - other industries (30 or more employees),Percent,C,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Don’t know,Maori authorities - other industries (30 or more employees),Percent,0,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Experienced the physical impacts of climate change,All New Zealand businesses,Percent,17,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Participation in government programmes,All New Zealand businesses,Percent,6,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from management/board/employees,All New Zealand businesses,Percent,26,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Pressure from competitors,All New Zealand businesses,Percent,6,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from investors or shareholders,All New Zealand businesses,Percent,7,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Demand from customers,All New Zealand businesses,Percent,26,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Public opinion,All New Zealand businesses,Percent,23,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To minimise supply chain disruptions,All New Zealand businesses,Percent,12,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,To take advantage of opportunities presented by climate change,All New Zealand businesses,Percent,10,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Potential for litigation,All New Zealand businesses,Percent,1,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Other,All New Zealand businesses,Percent,13,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Did not make any changes,All New Zealand businesses,Percent,15,2021
Table 19,Main reasons that businesses undertook climate change-related actions,By business type,Don’t know,All New Zealand businesses,Percent,32,2021
Table 20,Barriers for businesses not making climate change-related investments in the last two years,By business type,Lack of necessary infrastructure,All Maori authorities,Percent,15,2021
Table 20,Barriers for businesses not making climate change-related investments in the last two years,By business type,Lack of information to support decision-making,All Maori authorities,Percent,28,2021
